dataset,base_method,method,feature_transform,label_graph_setting,official_sehgnn_unmodified,uses_ablation_adapter,training_executed,success,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,per_type_feature_shape_before_json,per_type_feature_shape_after_json,shape_safe_pass,failure_type,failure_reason,method_family,protocol_family,schema_compatible,target_preserving,official_hgb_exported,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligible_for_decision,diagnostic_only,uses_test_metrics_for_selection,uses_test_labels_for_selection,selection_signal_source,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.947887,0.9441769999999999,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.947887,0.9438179999999999,0.938272,0.933587,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.948592,0.9447669999999999,0.938272,0.933587,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.9482389999999999,0.944323,0.938272,0.933587,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,raw,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,raw,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,raw,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,raw,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,raw,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-paper,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-paper,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-paper,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-paper,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-paper,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-term,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-term,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-term,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-term,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-term,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-all-support,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-all-support,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-all-support,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-all-support,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,zero-all-support,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-only,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-only,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-only,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-only,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-only,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,term-only,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,term-only,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,term-only,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,term-only,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,term-only,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-RP64,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-RP64,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-RP64,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-RP64,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-RP64,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-pca64,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-pca64,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-pca64,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-pca64,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,full/export-full,full/export-full,paper-pca64,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,raw,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,raw,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,raw,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,raw,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,raw,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-paper,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-paper,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-paper,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-paper,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-paper,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-term,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-term,no_label_feats,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-term,num_feature_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-term,num_label_hops_0,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-term,feature_only_mlp_adapter,False,True,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-node30,H6-node30,zero-all-support,default,True,False,False,False,NaN,NaN,NaN,NaN,,,True,feature_ablation_task_not_executed,No real Gate21.13 official SeHGNN feature ablation task row exists for this method/transform/setting.,mechanism_audit,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
