dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,b31b2538e46c3718f9aad9eac2d1d816b5be97d66ab2cebf5179c4265e4f0e7d,ddb2de4e831ce070c4e97fd6cab306fee4d448cbe9a4175016f74045391b3aaa,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,c94a997163a4a4c7cfab6119e7dbc92b2fb418331e7fc21f12bd51a8260a01f0,81d64197b34aa9d154ae985ba5eff587dcc636ef5fa5d90fa71cf5690f06ad94,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,c06671bf9b15ddb59ea7c44a42521159a6afabe97b5a6e56c9b1071b54c3e8fc,4e2141c985b1052867869b1b66b0956889b067a8e0791fbad5cb9c9c2dec44e7,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,830db97e28cc85f08d13419c6c2554043ee3f450abd4d59922dd74ae6d8e67ca,4ed96303a344ed3bce8e85678e5ae4c563886714e4cc1b19c477eba95dba8448,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,2edb62ff7fb1ffc939f59112596425cd2e5a69ad499e6c8c5ae553d31d67621e,59e1e5a5e372d3f10f94292b1c855521a6af51ad4d4650c1a7ddc9e2a0b86378,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,d7da038e32feda352ec12474d186b28b644cea985af7aed5fbf73b7dd20d6c43,50e8780a32ee48aca781b40f2ef88e78acb4ef88ebfd03e513271e0be296517e,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,590a5f25392e6208b70cbcfff2cb207fc8322ebb5e860596404df0241344cc21,19ec75b20ec076be0aa8aa5c0da7c63f893bafe90780fbfccde88bb7269be4b1,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,b9ccad4e5167f9b7c533f10519a8f62c759ef8ee56a9eefa68a2e6e438534cfb,4354bee02d2d8103ae9311eb09253a62445ceb5b71c91a397fd73cf4e42bfcbf,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,dcb6648a14303d2e27a56541e25f016ee3c75a73d8421ab4accef4480cb78b27,cae07a095584afa21085a94efc73de08bfee9a93f2e1a1b58f0b6733f31b2963,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,f1a06b70d0f9eb6da5d3de1b3955a371c81e5b08189aec64226bab02f2a095b3,feb404d68404a7c3a58be51db502a0bb751bb1a835f7f9f199447ba377787733,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,04ef38977a817091a9488adc1cdb2cea2ed0b7158da81d3b5567617b7b3aecb0,cff88ae053555e7b0ce6640440500d1b0e1a83930642a10bcb6ba0cf2c0be06e,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,410bf8873bfa3efcc633a73fa8fc9d7e56ac7f0420869ed60f9a61a4440c98da,1891e88774be0e119c1041645d4006f535858557baffb81535e1a5d1e514282d,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,9618167c7eacff9ee5bbd5a974afb1784d901adb2f131e9c616b7f833c01a4f8,c3614447e48076f7f582a629c76f45a957915a066fba191f335740e3f61a21e3,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,be051eee4378dc7ac48c7e5552ea61cb357c48892b412e948ad326656686a68c,d3fff3d7d83f0a014ac36aa968511339e898e687a0a35154d54a9fc0dff511e4,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,329a854bd3692511aa26cdd3f393ec17add6a8f7871dcf136f9a69e053451646,be9eafc5ee8d1f5a6241f25ab8a4e51b99eb85f9f1c50fb7c6a086b2f8196b13,local:structural_baseline_impl,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,1149259f09dae73fc4cc57cfd27d39d49459216e409e137159d255d29cdc7c13,8501be1c8220ee00300f2cf4c0c5d5800f054943fb30fe12b8956abcc18efe50,local:structural_baseline_impl,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,6786752573d94b879a98de02207c6f4d98a727411f15220bda921575306d46f2,73f55b5e531c7015e70515283f15a3db95ac3fe250f673cf764efdd1898f486a,local:structural_baseline_impl,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,7f176ead918be79968e881e07510f827d41467a11017caf05ed737c4549897c1,cb9f2b7468f8cabe18176febc8ade425fb1abaebbbfac0ed3dbdc923052b60be,local:structural_baseline_impl,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,69795af1f2ab0e063952835d9c230fa762886a933b99bd323922b3afa00c0b1d,ee8dbaaa99778b194606d82ab2565188ff05da33ca596327e3969c6744f1a2dd,local:structural_baseline_impl,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,140aabb81db2c7c0f0bab4f4ac8824e4cd70e9208e434ae7666263765597ee65,3bdff88e5c2a83bfa38abef369b8fafb212e662e02612fc4bd853339a998036b,local:structural_baseline_impl,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,290f6d8d841efe8f863d2239d843eea01da9887b7c310ee083273b7dbcd48c86,48c743f359b1c355778ba28541a1878b9ce75fab4f051628a24379f670e0f679,local:structural_baseline_impl,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,244cdd9c1ddd401870b880126fc72658162aa873ee50a946253dc088ce0e77f4,f3f2063f9e07a4a45c5d6bdb489ab89635794af4448e6a2e21ca8cd6c8143480,local:structural_baseline_impl,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,a692150977112a9ac236d39c8cc9d393287228a34b01b54c77fc4a4408cdd8bd,0d11f04a9bd898ed21873190e61d7643b62cbb61058a011cc555d8ca107685ed,local:structural_baseline_impl,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,6206a61338d5db3723a71d70b425a0d370d766b4159ab234500306868e2e9b30,1fb25b0d34537f67b081b3f49ea9b5d4e5ea7fcfc5e2390e1bc48ca56c76eb96,local:structural_baseline_impl,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,a508fea5d0453c6e95ec5ed4f9b9c402899be1c351fe92697212da5402202a74,394ed04b5e87f2013b55317e8b2c69e115a3cca44b8698727894483ce43ef02f,local:structural_baseline_impl,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,cc80e8302d9f46df39c127d623f99ee86104b0b81e2de12a9ab2f1e3ad0a2223,0bf08e185f6e0a3f4907162126ce4a34b4efd725d94d54d10143b9db09779509,local:structural_baseline_impl,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,2e4868a5cfa010c58f40cc491526744d0c8b423b90d45bd2d51df85345cbb856,d41da09a8ec46de9cd164de8934b40e341ef66cf7bcb6015379d131fd8ce7309,local:structural_baseline_impl,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,5fe459550ee8fb6848053d931797d81d6819efc18d43ad4d390957739d335842,77f42e0d4f3377ea591ffaeb3de6c1414a456975e7a3daa0f8e9c7f334529530,local:structural_baseline_impl,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,5bd51fb0fe42e14fb8c89c65336b412aa3cd42838a2725537b3dd2a17d5d75c0,9dfc7189f9f2f58e5ac24f2cac1dc8312a3a80fcd56f2ee6581ce64c7423f161,local:structural_baseline_impl,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,b38fa377597ee658dd30cfdf761c911c3a988a2edc69b9ae7a1b6b241fc1bfdd,91f5787c5a9678f5a90386bfbe1c781be631237a8afd536d2498e8c3be9e7d8f,local:structural_baseline_impl,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,8fc91f23d8dd9aa13fd4d059c56a865c76b0287da70b03b4b140ceb327fd9636,715a09845c29e38f671b289f7694cb9f0e2751c7330d8b47dd15ce69fcc618cc,local:structural_baseline_impl,
