dataset,method,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,success,failure_type,failure_reason
DBLP,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
ACM,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Random-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Herding-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,KCenter-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,GraphSparsify-TP,True,True,True,True,False,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,Coarsening-HG-TP,True,True,True,True,False,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
IMDB,FreeHGC-score-TP,True,True,True,True,False,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.
DBLP,HeSF-RCS-Rep,True,True,True,True,True,True,,
