dataset,method,method_family,requested_budget_type,requested_budget,success,training_executed,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,budget_infeasible,failure_type,failure_reason
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,False,False,True,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,False,False,True,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,False,False,True,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,False,False,True,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,False,False,True,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,False,False,True,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,False,False,True,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,False,False,True,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,False,False,True,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,False,False,True,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,False,False,True,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
