dataset,method,baseline_name,method_family,protocol,requested_budget_type,requested_budget,support_node_ratio,structural_budget,graph_seed_count,training_seed_count,expected_success_count,success_count,success,training_executed,official_hgb_exported,official_sehgnn_unmodified,schema_compatible,target_preserving,budget_infeasible,ready_5x5,failure_type,failure_reason,repo_url
DBLP,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
DBLP,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
DBLP,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
DBLP,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
DBLP,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
ACM,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Random-HG-TP,Random-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Herding-HG-TP,Herding-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,KCenter-HG-TP,KCenter-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,GraphSparsify-TP,GraphSparsify-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,0.3,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,0.2,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,
IMDB,Coarsening-HG-TP,Coarsening-HG-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,0.16,3,3,9,0,False,False,False,True,True,True,False,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,
DBLP,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.2,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.16,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
IMDB,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.3,0.3,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
IMDB,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,support_node_ratio,0.5,0.5,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
IMDB,FreeHGC-score-TP,FreeHGC-score-TP,external_tp_baseline,schema_preserving_target_preserving_official_sehgnn,structural_storage_ratio,0.3,,,,,,,False,False,False,True,True,True,False,,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.,https://github.com/GooLiang/FreeHGC
