dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,raw_hgb_text_byte_ratio,link_dat_bytes,node_dat_bytes,export_total_bytes,native_full_total_bytes,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,recovery_vs_native_full_micro,recovery_vs_native_full_macro,full_minus_micro,full_minus_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,failure_type,failure_reason,success,source_gate,source_path,selected_edge_hash,planner_config_hash,repo_url,traceback_path
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
ACM,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,KCenter-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,KCenter-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,KCenter-HG-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,KCenter-HG-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,KCenter-HG-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,GraphSparsify-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,GraphSparsify-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,GraphSparsify-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,GraphSparsify-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,GraphSparsify-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Coarsening-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Coarsening-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Coarsening-HG-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Coarsening-HG-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
DBLP,Coarsening-HG-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Random-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Random-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.16,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.,False,,,,,,
