dataset,method,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,export_fidelity_pass,failure_type,failure_reason
ACM,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,True,True,False,True,False,True,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,True,True,False,True,False,True,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,True,True,False,True,False,True,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,True,True,False,True,False,True,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,True,True,False,True,False,True,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,True,True,False,True,False,True,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,HeSF-RCS-auto structural50,True,True,True,True,True,True,True,,
DBLP,HeSF-RCS-auto structural30,True,True,True,True,True,True,True,,
DBLP,HeSF-RCS-auto structural20,True,True,True,True,True,True,True,,
DBLP,HeSF-RCS-auto structural16,True,True,True,True,True,True,True,,
DBLP,HeSF-RCS-auto structural12,True,True,True,True,True,True,True,,
ACM,HeSF-RCS-auto structural50,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for ACM at structural budget 0.50.
ACM,HeSF-RCS-auto structural30,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for ACM at structural budget 0.30.
ACM,HeSF-RCS-auto structural20,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for ACM at structural budget 0.20.
ACM,HeSF-RCS-auto structural16,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for ACM at structural budget 0.16.
ACM,HeSF-RCS-auto structural12,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for ACM at structural budget 0.12.
IMDB,HeSF-RCS-auto structural50,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for IMDB at structural budget 0.50.
IMDB,HeSF-RCS-auto structural30,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for IMDB at structural budget 0.30.
IMDB,HeSF-RCS-auto structural20,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for IMDB at structural budget 0.20.
IMDB,HeSF-RCS-auto structural16,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for IMDB at structural budget 0.16.
IMDB,HeSF-RCS-auto structural12,True,True,False,True,False,True,False,missing_official_task_metric,No official-unmodified HeSF-RCS-auto task metric with validation fields exists for IMDB at structural budget 0.12.
DBLP,HeSF-RCS-Rep,True,True,False,True,False,True,False,validation_metrics_missing,No HeSF-RCS-auto representative can be selected without validation metrics; test metrics were not used.
ACM,HeSF-RCS-Rep,True,True,False,True,False,True,False,validation_metrics_missing,No HeSF-RCS-auto representative can be selected without validation metrics; test metrics were not used.
IMDB,HeSF-RCS-Rep,True,True,False,True,False,True,False,validation_metrics_missing,No HeSF-RCS-auto representative can be selected without validation metrics; test metrics were not used.
